Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-NOV-2022|BKSL|EQUITY|67083561082|50|354400|3475406316|20346900|30|13775065145|96900000|171609354|100|663219255|18202901500|0|576947644|0|790561391|47040400|677675074|98653022|0|1481326180|3672203711
30-NOV-2022|BKSW|EQUITY|20436685984|110|0|104586918|0|0|576605729|289396400|100022500|0|148|1070611695|0|0|0|18948837108|3061594|0|41300|0|413877559|19365817561
30-NOV-2022|BLTA|EQUITY|25181143017|50|29836312|4529198731|136259055|470678|4490744728|703000098|338714628|9884416|2835400|10240944046|0|802951448|701593424|1887939957|368404866|59772609|1548455287|0|325038632|5694156223
30-NOV-2022|BLTZ|EQUITY|873937142|1770|0|54600|0|0|1997550|0|0|0|0|2052150|0|0|0|76216300|21800|0|0|0|795283292|871521392
30-NOV-2022|BLUE|EQUITY|418000000|292|0|128487800|0|0|20823700|0|18474500|0|0|167786000|0|0|0|0|192500|0|0|0|21500|214000
30-NOV-2022|BMAS|EQUITY|8616236978|1135|0|2778256671|0|0|19184824|0|0|0|0|2797441495|0|5374854375|0|443904808|2600|0|33700|0|0|5818795483
30-NOV-2022|BMHS|EQUITY|8603416176|406|456870100|4997007000|49081100|0|1695707700|132473100|650000|3942300|0|7335731300|0|1166988976|0|4185600|3976300|21600|2512400|0|0|1177684876
30-NOV-2022|BMRI|EQUITY|46666666666|10525|1096274972|33719290|236141898|31911018|506197513|956404802|3097240|34391798|3734996673|6633135204|523227522|642535799|2009705894|1709194519|2314676|6462098777|763560058|41209147|3613018403|15766864795
30-NOV-2022|BMSR|EQUITY|1159200024|825|67953600|63879200|37150000|0|93517292|1916000|12276600|0|80000|276772692|0|86382500|0|0|50077500|0|0|0|745842332|882302332
30-NOV-2022|BMTR|EQUITY|16583997586|292|127205400|6668889840|12483050|0|5819973268|51474850|1428916581|5055000|3016300|14117014289|29|711157397|56256265|274381147|12774770|568463633|724148222|0|115113014|2462294477
30-NOV-2022|BNBA|EQUITY|2772000000|1155|580900|1128453760|0|0|207580483|562800|285|0|0|1337178228|0|0|0|11174400|968200|1089100|10019040|0|371032|23621772
30-NOV-2022|BNBR|EQUITY|21160865261|60|368027737|9158503320|30385700|173975|5952720805|881137840|1098607567|241300|2455010|17492253254|0|123222929|0|2945150587|77644569|3|125901559|0|206562801|3478482448
30-NOV-2022|BNGA|EQUITY|25131606843|1165|71363637|54784312|5709050|198581062|726662235|60146340|13367467|59443|69001|1130742547|332457|2207281|70934899|23099700117|9564606|139719068|71429353|1407000|333256540|23728551321
30-NOV-2022|BNII|EQUITY|76215195821|244|6563|1598748|0|505626|566604307|0|4252702|5131|464532|573437609|0|1815542|3105005|14300214050|5340446|25901802|98698160|363900|61522495|14496961400
30-NOV-2022|BNLI|EQUITY|36181359520|1140|9688|1636339|49991|48638|85451241|589894|139638|0|838598|88764027|0|50552|0|35726461628|417685|207270|950737|0|886821|35728974693
30-NOV-2022|BOBA|EQUITY|1155750000|190|0|274586800|0|0|506353600|0|0|0|0|780940400|0|50775000|0|43500|67991100|0|0|0|0|118809600
30-NOV-2022|BOGA|EQUITY|3803526210|1285|778543014|2198516018|3200000|0|214166410|409265768|161235800|7400000|0|3772327010|0|18700|1556100|18468700|12000|4380463|5311900|0|1451337|31199200
30-NOV-2022|BOLA|EQUITY|6000000000|268|1305715000|164465100|0|18557300|4308491860|0|36428740|0|0|5833658000|0|0|0|39028200|49100|429200|126126700|0|708800|166342000
30-NOV-2022|BOLT|EQUITY|2343750000|760|0|58000000|0|0|116296600|0|6756800|0|0|181053400|0|54000000|0|5000|500|0|346191100|0|0|400196600
